ticker,name,exchange,country,sector,market_cap_rank,universe_group,market_cap,average_daily_volume_3m,source,source_as_of
NVDA,NVIDIA Corporation,NasdaqGS,USA,Technology,1,US,5103122644992,162813875,Yahoo Finance Equity Screener,2026-06-21
GOOGL,Alphabet Inc Class A,NasdaqGS,USA,Communication Services,2,US,4490912595968,29821472,Yahoo Finance Equity Screener,2026-06-21
GOOG,Alphabet Inc Class C,NasdaqGS,USA,Communication Services,3,US,4483957391360,20614993,Yahoo Finance Equity Screener,2026-06-21
AAPL,Apple Inc.,NasdaqGS,USA,Technology,4,US,4376979046400,47300354,Yahoo Finance Equity Screener,2026-06-21
MSFT,Microsoft Corporation,NasdaqGS,USA,Technology,5,US,2818348154880,35850962,Yahoo Finance Equity Screener,2026-06-21
AMZN,"Amazon.com, Inc.",NasdaqGS,USA,Consumer Cyclical,6,US,2628929978368,44954648,Yahoo Finance Equity Screener,2026-06-21
SPCX,Space Exploration Technologies (SpaceX),NasdaqGS,USA,Industrials,7,US,2437224595456,288941860,Yahoo Finance Equity Screener,2026-06-21
TSM,Taiwan Semiconductor Manufacturing Company Limited,NYSE,USA,Technology,8,US,2396773416960,13555148,Yahoo Finance Equity Screener,2026-06-21
AVGO,Broadcom Inc.,NasdaqGS,USA,Technology,9,US,1957030658048,25691456,Yahoo Finance Equity Screener,2026-06-21
TSLA,"Tesla, Inc.",NasdaqGS,USA,Consumer Cyclical,10,US,1504129843200,58082137,Yahoo Finance Equity Screener,2026-06-21
META,"Meta Platforms, Inc.",NasdaqGS,USA,Communication Services,11,US,1465228591104,17483667,Yahoo Finance Equity Screener,2026-06-21
MU,"Micron Technology, Inc.",NasdaqGS,USA,Technology,12,US,1278839095296,50692645,Yahoo Finance Equity Screener,2026-06-21
BRK-B,Berkshire Hathaway Inc.,NYSE,USA,Financial Services,13,US,1055693602816,4966335,Yahoo Finance Equity Screener,2026-06-21
LLY,Eli Lilly and Company,NYSE,USA,Healthcare,14,US,979640254464,3176633,Yahoo Finance Equity Screener,2026-06-21
WMT,Walmart Inc.,NasdaqGS,USA,Consumer Defensive,15,US,932527669248,20324183,Yahoo Finance Equity Screener,2026-06-21
AMD,"Advanced Micro Devices, Inc.",NasdaqGS,USA,Technology,16,US,876235849728,37960051,Yahoo Finance Equity Screener,2026-06-21
JPM,JPMorgan Chase & Co.,NYSE,USA,Financial Services,17,US,871430684672,9008248,Yahoo Finance Equity Screener,2026-06-21
ASML,ASML Holding N.V.,NasdaqGS,USA,Technology,18,US,743732805632,1855475,Yahoo Finance Equity Screener,2026-06-21
INTC,Intel Corporation,NasdaqGS,USA,Technology,19,US,673433780224,132945327,Yahoo Finance Equity Screener,2026-06-21
V,Visa Inc.,NYSE,USA,Financial Services,20,US,622326579200,7498995,Yahoo Finance Equity Screener,2026-06-21
XOM,Exxon Mobil Corporation,NYSE,USA,Energy,21,US,571215183872,19527538,Yahoo Finance Equity Screener,2026-06-21
JNJ,Johnson & Johnson,NYSE,USA,Healthcare,22,US,549784256512,7767832,Yahoo Finance Equity Screener,2026-06-21
ORCL,Oracle Corporation,NYSE,USA,Technology,23,US,530026528768,26464450,Yahoo Finance Equity Screener,2026-06-21
AMAT,"Applied Materials, Inc.",NasdaqGS,USA,Technology,24,US,489960275968,7537466,Yahoo Finance Equity Screener,2026-06-21
